文件名,曲名,难度,总音符数,时长,平均密度,强度
第六天魔王.tja,ZV,10,1396,133.6,10.44161677,224.7535395
幽玄ノ乱.tja,幽玄ノ乱,10,1262,120.05,10.50395668,206.8920064
双oノ乱.tja,双oノ乱,10,970,117.9375,8.216216216,205.6224534
dcm2000.tja,dcm2000,10,765,123,6.211382114,202.4533677
chaostime.tja,!!!カオスタイム!!!,10,987,112.109071,8.795006424,175.8114271
Xa.tja,Xa,10,904,111.9310345,8.067467652,160.782447
madstm.tja,まださいたま2000,10,999,120.0535714,8.312955526,156.9866765
!=mm.tja,≠MM,10,1290,156.7125841,8.225248837,153.4103318
冷CJ ～韬裘嫣鼓ブラザ`ズ～.tja,冷CJ ～韬裘嫣鼓ブラザ`ズ～,10,787,88,8.931818182,152.0734891
Coquette.tja,Coquette,10,1022,115.2,8.862847222,152.0128323
7708.tja,7708,10,788,102.4731285,7.680062193,151.0330076
Behemoth.tja,Behemoth,10,999,114.7894737,8.694176983,144.1756252
ouroboros -twin stroke of the end-.tja,ouroboros -twin stroke of the end-,10,1134,145.3723404,7.793779729,142.5835907
1 Rotter Tarmination 2.tja,Rotter Tarmination(里),10,943,105.525,8.926794598,139.856218
弩蚊怒夏.tja,弩蚊怒夏,10,1000,122.895933,8.128828803,139.6774789
11ス`ハ`2000.tja,苏哈2000,10,668,120.8571429,5.51891253,138.9153665
Hurtling Boys.tja,Hurtling Boys,10,903,108.2307692,8.334044065,136.8474729
13 last2k.tja,万戈イム`一ノ十,10,999,122.1818182,8.168154762,133.4264235
12 Shimedore2000.tja,组曲2000,10,1414,170.4342872,8.290585323,133.1554249
11hatara.tja,打工2000,10,876,109.9972284,7.954745883,130.4159258
アサガオ.tja,アサガオ,10,765,104.5227273,7.30941509,130.2662481
Gloria.tja,Gloria,10,888,122.1621622,7.260840708,126.4447949
ＡＲＭＡＧＥΔＤＯＮ.tja,`ql`fdcnm,10,999,123.6315789,8.072371222,123.973318
ココロボ.tja,ココロボ,10,620,115.8333333,5.343884892,122.9519851
01Z 2000.tja,又斡2000,10,835,121.125,6.885448916,122.0387464
01Ypsplsb.tja,北斡2000,10,802,119.4594595,6.70520362,118.6218436
10xday2k.tja,X-DAY2000,10,765,108.3157895,7.053449951,116.9991432
ドドンガド～ン里).tja,ドドンガド～ン(里),10,876,120,7.291666667,116.7652205
tfs.tja,Telecastic fake show,10,1000,141.0261934,7.083790434,115.092236
pochi.tja,プチポチ,10,877,98.00855936,8.937994862,115.0668863
1燎原之舞.tja,燎原ノ舞,10,822,114.2307692,7.187205387,114.6222637
Shikou no Ran.tja,紫煌ノ乱,10,823,111.4754098,7.373823529,113.1609925
mikusingURA.tja,初音未来的激唱(里),10,999,141.2388735,7.066043328,112.8618705
超~技巧系少女.tja,超~技巧系少女,10,803,117.75,6.81104034,112.325891
xjapa2.tja,Silent Jealousy─,10,1408,160,8.79375,111.3545368
mikusing.tja,初音未来的激唱,10,703,143.1460596,4.904081901,110.8049894
ゴ`ストマスク.tja,ゴ`ストマスク,10,899,122.8,7.312703583,109.3343046
承J欲Q.tja,承J欲Q かねこちはる feat.はぁち,10,899,135.1327434,6.645317616,108.2652713
cangxuanura.tja,苍之旋律(里),10,976,127.3469388,7.65625,107.6879535
Calculator.tja,Calculator,10,777,107.9393966,7.189219364,103.8197305
SstTAarR.tja,SstTAarR*,10,848,114,7.429824561,102.8532088
SstTAarR.tja,SstTAarR*,10,848,114,7.429824561,102.8532088
9 Venomous里.tja,Venomous(里),10,765,118.9286917,6.424017527,102.0168987
Doom Noiz.tja,Doom Noiz,10,961,141.7898784,6.770582011,98.97166579
mint tears.tja,mint tears,10,765,103.3244681,7.394182754,98.21219376
DEBSTEP!.tja,DEBSTEP!,10,888,129.2307692,6.863690476,97.50164959
taikotimeura.tja,太鼓时间(里),10,876,129.7058824,6.746031746,95.67534528
butou5-6.tja,夜樱谢肉祭(里),10,942,135.6494069,6.937000474,93.13954871
